Competency,FLO,rubric_value,description,definition,characteristics
COMW,1,0 – Unsatisfactory,"Communication – COM1 Communication Strategies – Students apply a variety of communication strategies to effectively adapt their writing, oral, and non-verbal communication to meet the needs of diverse audiences and situations. ","Unsatisfactory performances neither meet the   expectations for Ferris graduates nor those for   incoming freshmen. This work exhibits profound   deficiencies and/or is incomplete.     Collaboration – COL2 Facilitate Others – Students engages team members in ways that facilitate their contributions to meetings by both constructively building upon or synthesizing the contributions of others as well as noticing when someone is not participating and inviting them to engage. Evaluated during the spring semester of odd-numbered years.    4 – Advanced Advanced performances exceed the expectations for Ferris graduates. This work shows an effective and well-developed response to the learning outcome. These students represent the strongest fraction of our graduates.   3 – Proficient Proficient performances meet the expectations for Ferris graduates. This work demonstrates a sufficient response to the learning outcome with regard to scope and accuracy. All students are expected to attain this level of ability by graduation.   2 – Progressing Developing performances approach the expectations for Ferris graduates. Although this work is more accomplished than that of novices, the scope and accuracy of the response does not yet satisfactorily address the learning outcome. This should be true of most first and second year students.  1 – Beginning Beginning performances do not meet the expectations for Ferris graduates. This work exhibits a novice level of ability with regard to addressing the learning outcome. This is the expected skill level for our incoming freshman.  0 – Unsatisfactory Unsatisfactory performances neither meet the expectations for Ferris graduates nor those for incoming freshmen. This work exhibits profound deficiencies and/or is incomplete.     Collaboration – COL3 Foster Team Environment – Students support a constructive team environment through appropriate communication, positive vocal and written tone and body language. Evaluated during the fall semester of odd-numbered years.      4 – Advanced   Advanced performances exceed the expectations for Ferris graduates. This work shows an effective and well-developed response to the learning outcome. These students represent the strongest fraction of our graduates.     3 – Proficient Proficient performances meet the expectations for Ferris graduates. This work demonstrates a sufficient response to the learning outcome with regard to scope and accuracy. All students are expected to attain this level of ability by graduation.   2 – Progressing Developing performances approach the expectations for Ferris graduates. Although this work is more accomplished than that of novices, the scope and accuracy of the response does not yet satisfactorily address the learning outcome. This should be true of most first and second year students.  1 – Beginning Beginning performances do not meet the expectations for Ferris graduates. This work exhibits a novice level of ability with regard to addressing the learning outcome. This is the expected skill level for our incoming freshman.  0 – Unsatisfactory Unsatisfactory performances neither meet the expectations for Ferris graduates nor those for incoming freshmen. This work exhibits profound deficiencies and/or is incomplete.     Collaboration – COL4 Conflict Resolution – Students address conflict directly and constructively, helping to manage/resolve it in a way that strengthens overall team cohesiveness and future effectiveness. Evaluated during the spring semester of even-numbered years.    4 – Advanced Advanced performances exceed the expectations for Ferris graduates. This work shows an effective and well-developed response to the learning outcome. These students represent the strongest fraction of our graduates.  3 – Proficient Proficient performances meet the expectations for Ferris graduates. This work demonstrates a sufficient response to the learning outcome with regard to scope and accuracy. All students are expected to attain this level of ability by graduation.   2 – Progressing Developing performances approach the expectations for Ferris graduates. Although this work is more accomplished than that of novices, the scope and accuracy of the response does not yet satisfactorily address the learning outcome. This should be true of most first and second year students.  1 – Beginning Beginning performances do not meet the expectations for Ferris graduates. This work exhibits a novice level of ability with regard to addressing the learning outcome. This is the expected skill level for our incoming freshman.  0 – Unsatisfactory Unsatisfactory performances neither meet the expectations for Ferris graduates nor those for incoming freshmen. This work exhibits profound deficiencies and/or is incomplete."," Does not consider audience when making choices of  content, structure, language, illustrations, non-  verbal cues, style, visual elements, or tone of voice.  Core Competency Scoring Rubric Ferris State University       Level                                                 Description  Engages team members in ways that facilitate their contributions to meetings by both constructively building upon or synthesizing the contributions of others as well as noticing when someone is not participating and inviting them to engage.     Engages team members in ways that facilitate their contributions to meetings by constructively building upon or synthesizing the contributions of others.      Engages team members in ways that facilitate their contributions to meetings by restating the views of other team members and/or asking questions for clarification.     Engages team members by taking turns and listening to others without interrupting.      Does not productively engage with other team members.  Core Competency Scoring Rubric Ferris State University      Level                                                  Description Creates a constructive team climate by performing all  of the following activities: 1) Treats team members respectfully by being polite and constructive in communication. 2) Uses positive vocal or written tone and/or body language to convey a positive attitude about the team and its work. 3) Motivates teammates by expressing confidence about the importance of the task and the team's ability to accomplish it. 4) Provides assistance and/or encouragement to team members.   Supports a constructive team climate by doing any three of the activities enumerated above.       Adds to a constructive team climate by doing any two of the activities enumerated above.       Participates in a constructive team climate by doing any one of the activities enumerated above.     Does not contribute in a way that fosters a constructive team climate.   Core Competency Scoring Rubric Ferris State University      Level                                                 Description  Addresses destructive conflict directly and constructively, helping to manage/resolve it in a way that strengthens overall team cohesiveness and future effectiveness.     Identifies and acknowledges conflict and stays engaged with it.        Redirecting focus toward common ground, toward task at hand (away from conflict).       Passively accepts alternate viewpoints/ideas/opinions.      Does not help to manage or resolve conflict within the group. "
COMW,2,4 – Advanced,"Communication – COMW2 Use of Information – Students will collect, assess, synthesize, and organize information or data and integrate that material into written, oral, or non-verbal communication that makes the appropriate contribution to a situation or discussion.",Advanced performances exceed the expectations for Ferris graduates.              ,"strategies applied to the most appropriate information sources and databases. Evaluation of information: Demonstrates critical selective discernment of seminal, precedential, or influential sources relevant to a specific purpose and audience. Integration of Material: Skillfully organizes, synthesizes, and contextualizes evidence. Consistently distinguishes between own ideas and ideas of others. Seamlessly knits together paraphrase, summary, or quotes that are appropriate to context and true to the intentions of the original discourses. Ethical and Legal Use of Information: Correct and contextual use of citations and references. Demonstrates a full understanding of the ethical and legal restrictions on the use of published, confidential, and/or proprietary information, including Fair Use Laws."
COMW,2,3 – Proficient,"Communication – COMW2 Use of Information – Students will collect, assess, synthesize, and organize information or data and integrate that material into written, oral, or non-verbal communication that makes the appropriate contribution to a situation or discussion.",Proficient performances meet the expectations for Ferris graduates. All students are expected to attain this level of ability by graduation.            ,"recognizing differences between primary, secondary and tertiary sources. Evaluation of information: Demonstrates critical selective discernment with choosing timely, credible sources relevant to a specific purpose and audience. Integration of Material: Organizes, synthesizes, and contextualizes evidence appropriately for communication goals. Distinguishes between own ideas and ideas of others. Chooses paraphrasing, summary, or quoting appropriate to context and true to the intentions of the original discourses. Ethical and Legal Use of Information: Correctly uses citations and references according to a format appropriate to the discipline. Demonstrates understanding of the ethical and legal restrictions on the use of published, confidential, and/or proprietary information, including Fair Use Laws. Distinguishes between common knowledge and ideas requiring attribution."
COMW,2,2 – Progressing,"Communication – COMW2 Use of Information – Students will collect, assess, synthesize, and organize information or data and integrate that material into written, oral, or non-verbal communication that makes the appropriate contribution to a situation or discussion.","Although this work is more accomplished than that of novices, the scope and accuracy of the response does not yet satisfactorily address the learning outcome.    ","create a system for organizing the information Evaluation of information: Uses credible sources which demonstrate more than one viewpoint. Integration of Material: Employs evidence to support claim(s) and argument(s). Presents some evidence with context. Distinction between own ideas and ideas of others is usually clear. Chooses paraphrasing, summary, or quoting appropriate to the context. Ethical and Legal Use of Information: Avoids plagiarism through use of citations and documentation according to at least one format. Distinguishes between common knowledge and ideas requiring attribution."
COMW,2,1 – Beginning,"Communication – COMW2 Use of Information – Students will collect, assess, synthesize, and organize information or data and integrate that material into written, oral, or non-verbal communication that makes the appropriate contribution to a situation or discussion.",Beginning performances do not meet the expectations for Ferris graduates. This work exhibits a novice level of ability with regard to addressing the learning outcome.      ,"information from limited and similar sources. Can select appropriate information technologies to gather information. Evaluation of information: Uses some appropriate sources, but chooses others which are not suitable for academic work. Integration of Material: Sporadically uses evidence to support claim(s) or argument(s). Little use of context. Intermittent distinction between own ideas and ideas of others. Ethical and Legal Use of Information: Avoids plagiarism through use of citations and documentation according to at least one format. Quotes correctly, although makes mistakes in paraphrase or summary. Distinguishes between common knowledge and ideas requiring attribution."
COMW,2,0 – Unsatisfactory,"Communication – COMW2 Use of Information – Students will collect, assess, synthesize, and organize information or data and integrate that material into written, oral, or non-verbal communication that makes the appropriate contribution to a situation or discussion.",Dissatisfactory performances neither meet the expectations for Ferris graduates nor those for incoming freshmen. This work exhibits profound deficiencies and/or is incomplete.      ,"select appropriate information technologies to gather information retrieves information that lacks relevance and quality Evaluation of information: Inappropriate use of sources Integration of Material: Inadequate use of evidence to support claim(s) or argument(s). Little use of context. Intermittent distinction between own ideas and ideas of others. Integration of Material: Claim(s) or argument(s) lack necessary evidence. Does not contextualize quotes and evidence. Does not distinguish between own ideas and ideas of others. Ethical and Legal Use of Information: Does not use citations and documentation to avoid plagiarism. Inconsistently paraphrases, summarizes, or quotes. Is not always able to distinguish between common knowledge and ideas requiring attribution."
COMW,3,4 – Advanced,Communication – COMW3 Message Clarity – Students will use language effectively in their writing and speaking with varied sentence structure and word choice appropriate to audience and situation ,  Advanced performances exceed the expectations for   Ferris graduates. This work shows an effective and   well-developed response to the learning outcome.   These students represent the strongest fraction of our graduates.   ,"Demonstrates creative or innovative uses of language,  including word choice and masterful style-based  crafting of sentence structure to create engaging texts  for specific discourse communities.     "
COMW,3,3 – Proficient,Communication – COMW3 Message Clarity – Students will use language effectively in their writing and speaking with varied sentence structure and word choice appropriate to audience and situation ,Proficient performances meet the expectations for   Ferris graduates. This work demonstrates a sufficient   response to the learning outcome with regard to scope   and accuracy. All students are expected to attain this level of ability by graduation.  ," Demonstrates appropriate use of voice, tone, and  language conventions of professional discourse  communities and multiple media    "
COMW,3,2 – Progressing,Communication – COMW3 Message Clarity – Students will use language effectively in their writing and speaking with varied sentence structure and word choice appropriate to audience and situation ,"Developing performances approach the expectations   for Ferris graduates. Although this work is more   accomplished than that of novices, the scope and   accuracy of the response does not yet satisfactorily address the learning outcome. This should be true of most first and second year students. "," Demonstrates effective control of voice, tone, and  language conventions appropriate for academic  audiences and multiple media.    "
COMW,3,1 – Beginning,Communication – COMW3 Message Clarity – Students will use language effectively in their writing and speaking with varied sentence structure and word choice appropriate to audience and situation ,  Beginning performances do not meet the expectations for Ferris graduates. This work exhibits a novice level of ability with regard to addressing the learning outcome. This is the expected skill level for our incoming freshman. ,"Able to edit writing for conventional use of Edited American English*. Chooses tone and language appropriate for needs of more than one particular audience(s),   "
COMW,3,0 – Unsatisfactory,Communication – COMW3 Message Clarity – Students will use language effectively in their writing and speaking with varied sentence structure and word choice appropriate to audience and situation ,Unsatisfactory performances neither meet the expectations for Ferris graduates nor those for incoming freshmen. This work exhibits profound deficiencies and/or is incomplete.,Grammatical and mechanical errors impede readability of text.  
COMW,4,4 – Advanced,Communication – COMW4 Document Design – Students will employ the tools of effective document design and visual rhetoric to produce professional texts or multimedia products ,Advanced performances exceed the expectations for Ferris graduates.                    ,"and is targeted towards a specific audience. The overall display is eye- catching and shows creative design,yet retains substance and ethical representation. Titles, subheadings, and text are displayed in sizes that reflect the content hierarchy, style format, and expectations of the specific audience. Font styles are appropriate for the content and target audience. All images, figures, or tables are displayed with appropriate sizing and resolution. All color, symbolism, legends, arrangement, and text are relevant to the question that the data visualization seeks to answer and conveys information to the viewer. Appropriate graphic variable types are used and are well suited for the type and scale of the data they represent. All multimedia elements work well together and demonstrate excellent synthesis."
COMW,4,3 – Proficient,Communication – COMW4 Document Design – Students will employ the tools of effective document design and visual rhetoric to produce professional texts or multimedia products ,Proficient performances meet the expectations for Ferris graduates. All students are expected to attain this level of ability by graduation.        ,"The overall display is interesting and accessible. Most of the titles, subheadings, and text are displayed in sizes that reflect the content hierarchy and follows style format when appropriate. A variety of font styles are utilized to enhance the design. Most images, figures, or tables are displayed with appropriate sizing and resolution and are appropriate for the content and target audience. Standard graphic variable types are used. Most color, symbolism, legend, arrangement, and text are relevant to the question that the data visualization seeks to answer Multimedia elements are appropriate and enhance the presentation."
COMW,4,2 – Progressing,Communication – COMW4 Document Design – Students will employ the tools of effective document design and visual rhetoric to produce professional texts or multimedia products ,"Although this work is more accomplished than that of novices, the scope and accuracy of the response does not yet satisfactorily address the learning outcome.        ","but doesn't address a specific target audience. The overall display is neat and clear. Titles, subheadings, and text are not distinctive or do not follow formats. Some inconsistencies in font styles exists. Most of the images, figures, or tables are appropriate, but not all are displayed with appropriate sizing and resolution. Standard graphic variable types are used; however, some may not be appropriate to data. Some color choice, symbolism, legend, or text is irrelevant, missing or confusing. one or two digitized audio and video artifacts are incorporated. Selection of media elements are adequate Level"
COMW,4,1 – Beginning,Communication – COMW4 Document Design – Students will employ the tools of effective document design and visual rhetoric to produce professional texts or multimedia products ,  Beginning performances do not meet the expectations for Ferris graduates. This work exhibits a novice level of ability with regard to addressing the learning outcome.       ,"Description Layout follows a consistent pattern but does not reflect the purpose of the content and/or address the needs of the target audience. The overall display is confusing. Titles, subheadings, and text are displayed in various sizes that are inconsistent with the content hierarchy. Font styles are used inappropriately or without apparent reason. Some images, figures, or tables are inappropriate for the content or provide no useful data. Inappropriate or no audio and video artifacts, where some might be necessary or helpful to the reader. Immature selection of graphics, fonts, sound and video. "
COMW,4,0 – Unsatisfactory,Communication – COMW4 Document Design – Students will employ the tools of effective document design and visual rhetoric to produce professional texts or multimedia products ,Dissatisfactory performances neither meet the expectations for Ferris graduates nor those for incoming freshmen. This work exhibits profound deficiencies and/or is incomplete.,"nor address the needs of the target audience. Titles and subheadings are nonexistent or difficult to distinguish. Numerous or inappropriate font styles are utilized without apparent reason. None of the graphic variable types used are suited for the type and scale of the data they represent. Data visualization is overwhelmed by symbolism, text, and color that are irrelevant to the question the visualization seeks to answer.   "
CULT,1,4 – Advanced,"Culture – CUL1 Interpretation – students will be able to demonstrate an ability to interpret cultural works and practices, including but not limited to art, music, theater, literature, language, history, philosophy and religion, as part of a broader culture, and justify those interpretations with an understanding of the interpretive process.",  Advanced performances exceed the expectations for   Ferris graduates. This work shows an effective and   well-developed response to the learning outcome. These students represent the strongest fraction of our graduates. ,Demonstrates a sophisticated and multi-layered  ability to interpret cultural works and practices as  part of a broader culture.    
CULT,1,3 – Proficient,"Culture – CUL1 Interpretation – students will be able to demonstrate an ability to interpret cultural works and practices, including but not limited to art, music, theater, literature, language, history, philosophy and religion, as part of a broader culture, and justify those interpretations with an understanding of the interpretive process.",Proficient performances meet the expectations for   Ferris graduates. This work demonstrates a sufficient   response to the learning outcome with regard to scope   and accuracy. All students are expected to attain this level of ability by graduation.  , Demonstrates an advanced ability to interpret  cultural works and practices as part of a  broader culture.    
CULT,1,2 – Progressing,"Culture – CUL1 Interpretation – students will be able to demonstrate an ability to interpret cultural works and practices, including but not limited to art, music, theater, literature, language, history, philosophy and religion, as part of a broader culture, and justify those interpretations with an understanding of the interpretive process.","Developing performances approach the expectations for Ferris graduates. Although this work is more accomplished than that of novices, the scope and accuracy of the response does not yet satisfactorily address the learning outcome. This should be true of most first and second year students. ", Demonstrates a basic ability to interpret cultural works and practices as part of a broader culture.   
CULT,1,1 – Beginning,"Culture – CUL1 Interpretation – students will be able to demonstrate an ability to interpret cultural works and practices, including but not limited to art, music, theater, literature, language, history, philosophy and religion, as part of a broader culture, and justify those interpretations with an understanding of the interpretive process.",Beginning performances do not meet the expectations for Ferris graduates. This work exhibits a novice level of ability with regard to addressing the learning outcome. This is the expected skill level for our incoming freshman. , Demonstrates a partial ability to interpret cultural works and practices as part of a broader culture.   
CULT,1,0 – Unsatisfactory,"Culture – CUL1 Interpretation – students will be able to demonstrate an ability to interpret cultural works and practices, including but not limited to art, music, theater, literature, language, history, philosophy and religion, as part of a broader culture, and justify those interpretations with an understanding of the interpretive process.",Unsatisfactory performances neither meet the   expectations for Ferris graduates nor those for   incoming freshmen. This work exhibits profound deficiencies and/or is incomplete., Demonstrates little ability to interpret cultural  works and practices as part of a broader culture.  
CULT,2,4 – Advanced,Culture – CUL2 Self-Awareness – students will be able to articulate an understanding of themselves as part of culture(s) with rich historical perspectives through the study of works of culture. ,  Advanced performances exceed the expectations for   Ferris graduates. This work shows an effective and   well-developed response to the learning outcome.   These students represent the strongest fraction of our   graduates. ,Demonstrates a sophisticated and multi-layered  ability to articulate an understanding of  themselves as part of culture(s) with rich  historical perspectives through the study of  works of culture.  
CULT,2,3 – Proficient,Culture – CUL2 Self-Awareness – students will be able to articulate an understanding of themselves as part of culture(s) with rich historical perspectives through the study of works of culture. ,  Proficient performances meet the expectations for Ferris graduates. This work demonstrates a sufficient response to the learning outcome with regard to scope and accuracy. All students are expected to attain this level of ability by graduation.  ,Demonstrates an advanced ability to articulate an understanding of themselves as part of culture(s) with rich historical perspectives through the study of works of culture.   
CULT,2,2 – Progressing,Culture – CUL2 Self-Awareness – students will be able to articulate an understanding of themselves as part of culture(s) with rich historical perspectives through the study of works of culture. ,"Developing performances approach the expectations for Ferris graduates. Although this work is more accomplished than that of novices, the scope and accuracy of the response does not yet satisfactorily address the learning outcome. This should be true of most first and second year students. ",Demonstrates a basic ability to articulate an understanding of themselves as part of culture(s) with rich historical perspectives through the study of works of culture.   
CULT,2,1 – Beginning,Culture – CUL2 Self-Awareness – students will be able to articulate an understanding of themselves as part of culture(s) with rich historical perspectives through the study of works of culture. ,  Beginning performances do not meet the expectations for Ferris graduates. This work exhibits a novice level of ability with regard to addressing the learning outcome. This is the expected skill level for our incoming freshman. ,Demonstrates a partial ability to articulate an  understanding of themselves as part of culture(s) with rich historical perspectives through the study of works of culture.  
CULT,2,0 – Unsatisfactory,Culture – CUL2 Self-Awareness – students will be able to articulate an understanding of themselves as part of culture(s) with rich historical perspectives through the study of works of culture. ,  Unsatisfactory performances neither meet the expectations for Ferris graduates nor those for incoming freshmen. This work exhibits profound deficiencies and/or is incomplete.,Demonstrates little ability to articulate an understanding of themselves as part of culture(s) with rich historical perspectives through the study of works of culture. 
CULT,3,4 – Advanced,"Culture – CUL3 Analysis – students will be able to develop, justify and improve value distinctions (including aesthetic and ethical) in perception, craft, and life choices. ",Advanced performances exceed the expectations for Ferris graduates. This work shows an effective and well-developed response to the learning outcome. These students represent the strongest fraction of our graduates. ,"Demonstrates a sophisticated and multi-layered ability to justify and improve value distinctions (including aesthetic and ethical) in perception, craft, and life choices.  "
CULT,3,3 – Proficient,"Culture – CUL3 Analysis – students will be able to develop, justify and improve value distinctions (including aesthetic and ethical) in perception, craft, and life choices. ",  Proficient performances meet the expectations for Ferris graduates. This work demonstrates a sufficient response to the learning outcome with regard to scope and accuracy. All students are expected to attain this level of ability by graduation.  ,"Demonstrates an advanced ability to justify and improve value distinctions (including aesthetic and ethical) in perception, craft, and life choices.    "
CULT,3,2 – Progressing,"Culture – CUL3 Analysis – students will be able to develop, justify and improve value distinctions (including aesthetic and ethical) in perception, craft, and life choices. ","Developing performances approach the expectations for Ferris graduates. Although this work is more accomplished than that of novices, the scope and accuracy of the response does not yet satisfactorily address the learning outcome. This should be true of most first and second year students. "," Demonstrates a basic ability to justify and improve value distinctions (including aesthetic and ethical) in perception, craft, and life choices.   "
CULT,3,1 – Beginning,"Culture – CUL3 Analysis – students will be able to develop, justify and improve value distinctions (including aesthetic and ethical) in perception, craft, and life choices. ",Beginning performances do not meet the expectations for Ferris graduates. This work exhibits a novice level of ability with regard to addressing the learning outcome. This is the expected skill level for our incoming freshman. ,"Demonstrates a partial ability to justify and improve value distinctions (including aesthetic and ethical) in perception, craft, and life choices.   "
CULT,3,0 – Unsatisfactory,"Culture – CUL3 Analysis – students will be able to develop, justify and improve value distinctions (including aesthetic and ethical) in perception, craft, and life choices. ",  Unsatisfactory performances neither meet the expectations for Ferris graduates nor those for incoming freshmen. This work exhibits profound deficiencies and/or is incomplete.,"Demonstrates little ability to justify and improve value distinctions (including aesthetic and ethical) in perception, craft, and life choices. "
CULT,4,4 – Advanced,"Culture – CUL4 Process-Awareness, Participation – students will be able to explain the processes, contexts, and motivations behind the production of cultural works and practices, and when appropriate, participate in their creation.",  Advanced performances exceed the expectations for   Ferris graduates. This work shows an effective and   well-developed response to the learning outcome.   These students represent the strongest fraction of our   graduates. ,"Demonstrates a sophisticated and multi-layered  ability to explain the processes, contexts, and  motivations behind the production of cultural  works and practices, and when appropriate,  participate in their creation.  "
CULT,4,3 – Proficient,"Culture – CUL4 Process-Awareness, Participation – students will be able to explain the processes, contexts, and motivations behind the production of cultural works and practices, and when appropriate, participate in their creation.",  Proficient performances meet the expectations for Ferris graduates. This work demonstrates a sufficient response to the learning outcome with regard to scope and accuracy. All students are expected to attain this level of ability by graduation.  ,"Demonstrates an advanced ability to explain the processes, contexts, and motivations behind the production of cultural works and practices, and when appropriate, participate in their creation.   "
CULT,4,2 – Progressing,"Culture – CUL4 Process-Awareness, Participation – students will be able to explain the processes, contexts, and motivations behind the production of cultural works and practices, and when appropriate, participate in their creation.","Developing performances approach the expectations for Ferris graduates. Although this work is more   accomplished than that of novices, the scope and   accuracy of the response does not yet satisfactorily address the learning outcome. This should be true of most first and second year students. ","Demonstrates a basic ability to explain the  processes, contexts, and motivations behind the  production of cultural works and practices, and  when appropriate, participate in their creation.  "
CULT,4,1 – Beginning,"Culture – CUL4 Process-Awareness, Participation – students will be able to explain the processes, contexts, and motivations behind the production of cultural works and practices, and when appropriate, participate in their creation.",Beginning performances do not meet the expectations for Ferris graduates. This work exhibits a novice level of ability with regard to addressing the learning outcome. This is the expected skill level for our   incoming freshman. ,"Demonstrates a partial ability to explain the processes, contexts, and motivations behind the production of cultural works and practices, and  when appropriate, participate in their creation.  "
CULT,4,0 – Unsatisfactory,"Culture – CUL4 Process-Awareness, Participation – students will be able to explain the processes, contexts, and motivations behind the production of cultural works and practices, and when appropriate, participate in their creation.",Unsatisfactory performances neither meet the expectations for Ferris graduates nor those for incoming freshmen. This work exhibits profound deficiencies and/or is incomplete.,"processes, contexts, and motivations behind the production of cultural works and practices, and when appropriate, participate in their creation."
DIVG,1,4 – Advanced,"Diversity (Global) – DIVG1 Identify issues – Students will articulate knowledge and understanding of local, regional, national, and global issues and the interconnectedness and interdependency of human populations. ",Advanced performances exceed the expectations for   Ferris graduates. This work shows an effective and   well-developed response to the learning outcome.   These students represent the strongest fraction of our   graduates. ," Demonstrate a sophisticated and multi-layered ability  to identify local, regional, national and global diversity  issues along with the interconnectedness and  interdependency of human populations.  "
DIVG,1,3 – Proficient,"Diversity (Global) – DIVG1 Identify issues – Students will articulate knowledge and understanding of local, regional, national, and global issues and the interconnectedness and interdependency of human populations. ",  Proficient performances meet the expectations for Ferris graduates. This work demonstrates a sufficient response to the learning outcome with regard to scope and accuracy. All students are expected to attain this level of ability by graduation.  ,"Demonstrate an advanced ability to identify local, regional, national and global diversity issues along with the interconnectedness and interdependency of human populations.    "
DIVG,1,2 – Progressing,"Diversity (Global) – DIVG1 Identify issues – Students will articulate knowledge and understanding of local, regional, national, and global issues and the interconnectedness and interdependency of human populations. ","Developing performances approach the expectations for Ferris graduates. Although this work is more accomplished than that of novices, the scope and accuracy of the response does not yet satisfactorily address the learning outcome. This should be true of most first and second year students. ","Demonstrate a basic ability to identify local, regional, national and global diversity issues along with the interconnectedness and interdependency of human populations.   "
DIVG,1,1 – Beginning,"Diversity (Global) – DIVG1 Identify issues – Students will articulate knowledge and understanding of local, regional, national, and global issues and the interconnectedness and interdependency of human populations. ",  Beginning performances do not meet the expectations   for Ferris graduates. This work exhibits a novice level   of ability with regard to addressing the learning   outcome. This is the expected skill level for our incoming freshman. ,"Demonstrate a partial ability to identify local, regional,  national and global diversity issues along with the  interconnectedness and interdependency of human  populations.   "
DIVG,1,0 – Unsatisfactory,"Diversity (Global) – DIVG1 Identify issues – Students will articulate knowledge and understanding of local, regional, national, and global issues and the interconnectedness and interdependency of human populations. ",  Unsatisfactory performances neither meet the   expectations for Ferris graduates nor those for   incoming freshmen. This work exhibits profound   deficiencies and/or is incomplete.,"Demonstrates little ability to identify local, regional,  national and global diversity issues along with the  interconnectedness and interdependency of human  populations. "
DIVG,2,4 – Advanced,Diversity (Global) – DIVG2 Change – Students will explain examples of how local to global cultures and societies change through convergence and/or divergence. ,Advanced performances exceed the expectations for Ferris graduates. This work shows an effective and well-developed response to the learning outcome. These students represent the strongest fraction of our graduates. ,Demonstrate a sophisticated and multi-layered ability to explain examples of how local to global cultures and societies change through convergence and/or divergence.  
DIVG,2,3 – Proficient,Diversity (Global) – DIVG2 Change – Students will explain examples of how local to global cultures and societies change through convergence and/or divergence. ,Proficient performances meet the expectations for Ferris graduates. This work demonstrates a sufficient response to the learning outcome with regard to scope and accuracy. All students are expected to attain this level of ability by graduation.  ,Demonstrate an advanced ability to explain examples of how local to global cultures and societies change through convergence and/or divergence.    
DIVG,2,2 – Progressing,Diversity (Global) – DIVG2 Change – Students will explain examples of how local to global cultures and societies change through convergence and/or divergence. ,"Developing performances approach the expectations   for Ferris graduates. Although this work is more accomplished than that of novices, the scope and accuracy of the response does not yet satisfactorily address the learning outcome. This should be true of most first and second year students. ", Demonstrate a basic ability to explain examples of  how local to global cultures and societies change through convergence and/or divergence.   
DIVG,2,1 – Beginning,Diversity (Global) – DIVG2 Change – Students will explain examples of how local to global cultures and societies change through convergence and/or divergence. ,Beginning performances do not meet the expectations for Ferris graduates. This work exhibits a novice level of ability with regard to addressing the learning outcome. This is the expected skill level for our incoming freshman. ,Demonstrate a partial ability to explain examples of how local to global cultures and societies change through convergence and/or divergence.   
DIVG,2,0 – Unsatisfactory,Diversity (Global) – DIVG2 Change – Students will explain examples of how local to global cultures and societies change through convergence and/or divergence. ,Unsatisfactory performances neither meet the expectations for Ferris graduates nor those for incoming freshmen. This work exhibits profound deficiencies and/or is incomplete.,Demonstrates little ability to explain examples of how local to global cultures and societies change through convergence and/or divergence. 
DIVG,3,4 – Advanced,"Diversity (Global) – DIVG3 Apply theories – Students will apply a theory and/or method to analyze geographic, economic, cultural, linguistic, and/or historical contexts of a country or region outside the United States. ",  Advanced performances exceed the expectations for Ferris graduates. This work shows an effective and well-developed response to the learning outcome. These students represent the strongest fraction of our graduates. ,"Demonstrate a sophisticated and multi-layered ability to apply a theory and/or method to analyze geographic, economic, cultural, linguistic, and/or historical contexts of a country or region outside the United States.  "
DIVG,3,3 – Proficient,"Diversity (Global) – DIVG3 Apply theories – Students will apply a theory and/or method to analyze geographic, economic, cultural, linguistic, and/or historical contexts of a country or region outside the United States. ",Proficient performances meet the expectations for Ferris graduates. This work demonstrates a sufficient response to the learning outcome with regard to scope and accuracy. All students are expected to attain this level of ability by graduation.  ,"Demonstrate an advanced ability to apply a theory and/or method to analyze geographic, economic, cultural, linguistic, and/or historical contexts of a country or region outside the United States.   "
DIVG,3,2 – Progressing,"Diversity (Global) – DIVG3 Apply theories – Students will apply a theory and/or method to analyze geographic, economic, cultural, linguistic, and/or historical contexts of a country or region outside the United States. ","Developing performances approach the expectations   for Ferris graduates. Although this work is more accomplished than that of novices, the scope and accuracy of the response does not yet satisfactorily address the learning outcome. This should be true of most first and second year students. "," Demonstrate a basic ability to apply a theory and/or  method to analyze geographic, economic, cultural, linguistic, and/or historical contexts of a country or region outside the United States.  "
DIVG,3,1 – Beginning,"Diversity (Global) – DIVG3 Apply theories – Students will apply a theory and/or method to analyze geographic, economic, cultural, linguistic, and/or historical contexts of a country or region outside the United States. ",Beginning performances do not meet the expectations for Ferris graduates. This work exhibits a novice level of ability with regard to addressing the learning outcome. This is the expected skill level for our incoming freshman. ,"Demonstrate a partial ability to apply a theory and/or method to analyze geographic, economic, cultural, linguistic, and/or historical contexts of a country or region outside the United States.  "
DIVG,3,0 – Unsatisfactory,"Diversity (Global) – DIVG3 Apply theories – Students will apply a theory and/or method to analyze geographic, economic, cultural, linguistic, and/or historical contexts of a country or region outside the United States. ",  Unsatisfactory performances neither meet the   expectations for Ferris graduates nor those for   incoming freshmen. This work exhibits profound   deficiencies and/or is incomplete.,"Demonstrates little ability to apply a theory  and/or method to analyze geographic, economic,  cultural, linguistic, and/or historical contexts of  a country or region outside the United States. "
DIVG,4,4 – Advanced,"Diversity (Global) – DIVG4 Synthesize values – Students will synthesize a spectrum of beliefs, values, and attitudes from across the globe and situate their own views within the context of these cultural systems. ",  Advanced performances exceed the expectations for Ferris graduates. This work shows an effective and well-developed response to the learning outcome. These students represent the strongest fraction of our graduates. ,"Demonstrate a sophisticated and multi-layered ability to synthesize a spectrum of beliefs, values, and attitudes from across the globe and situate their own views within the context of these cultural systems.  "
